day	zone	timeslot	price
2025-01-07	FI	20250107-1000	9.500000
2025-01-07	FI	20250107-1100	5.010000
2025-01-07	FI	20250107-1200	5.000000
2025-01-07	FI	20250107-1300	5.000000
2025-01-07	FI	20250107-1400	5.000000
2025-01-07	FI	20250107-1500	5.000000
2025-01-07	FI	20250107-1600	5.000000
2025-01-07	FI	20250107-1700	5.010000
2025-01-07	FI	20250107-1800	5.000000
2025-01-07	FI	20250107-1900	5.000000
2025-01-07	FI	20250107-2000	5.000000
2025-01-07	FI	20250107-2100	5.000000
2025-01-07	FI	20250107-2200	5.000000
2025-01-07	FI	20250107-2300	4.800000
2025-01-07	FR	20250107-0000	19.960000
2025-01-07	FR	20250107-0100	12.500000
2025-01-07	FR	20250107-0200	9.400000
2025-01-07	FR	20250107-0300	9.690000
2025-01-07	FR	20250107-0400	20.490000
2025-01-07	FR	20250107-0500	29.540000
2025-01-07	FR	20250107-0600	72.790000
2025-01-07	FR	20250107-0700	95.200000
2025-01-07	FR	20250107-0800	95.200000
2025-01-07	FR	20250107-0900	73.840000
2025-01-07	FR	20250107-1000	51.800000
2025-01-07	FR	20250107-1100	42.480000
2025-01-07	FR	20250107-1200	35.460000
2025-01-07	FR	20250107-1300	36.050000
2025-01-07	FR	20250107-1400	38.210000
2025-01-07	FR	20250107-1500	101.920000
2025-01-07	FR	20250107-1600	108.150000
2025-01-07	FR	20250107-1700	124.510000
2025-01-07	FR	20250107-1800	138.340000
2025-01-07	FR	20250107-1900	108.150000
2025-01-07	FR	20250107-2000	83.920000
2025-01-07	FR	20250107-2100	73.840000
2025-01-07	FR	20250107-2200	73.840000
2025-01-07	FR	20250107-2300	54.220000
2025-01-07	GR	20250107-0000	107.150000
2025-01-07	GR	20250107-0100	97.520000
2025-01-07	GR	20250107-0200	96.770000
2025-01-07	GR	20250107-0300	97.920000
2025-01-07	GR	20250107-0400	107.150000
2025-01-07	GR	20250107-0500	108.150000
2025-01-07	GR	20250107-0600	112.160000
2025-01-07	GR	20250107-0700	108.150000
2025-01-07	GR	20250107-0800	108.150000
2025-01-07	GR	20250107-0900	108.150000
2025-01-07	GR	20250107-1000	108.150000
2025-01-07	GR	20250107-1100	108.150000
2025-01-07	GR	20250107-1200	108.150000
2025-01-07	GR	20250107-1300	108.150000
2025-01-07	GR	20250107-1400	108.150000
2025-01-07	GR	20250107-1500	129.780000
2025-01-07	GR	20250107-1600	199.220000
2025-01-07	GR	20250107-1700	136.610000
2025-01-07	GR	20250107-1800	113.840000
2025-01-07	GR	20250107-1900	108.150000
2025-01-07	GR	20250107-2000	108.150000
2025-01-07	GR	20250107-2100	108.150000
2025-01-07	GR	20250107-2200	107.150000
2025-01-07	GR	20250107-2300	106.340000
2025-01-07	HU	20250107-0000	107.150000
2025-01-07	HU	20250107-0100	97.520000
2025-01-07	HU	20250107-0200	96.770000
2025-01-07	HU	20250107-0300	97.920000
2025-01-07	HU	20250107-0400	107.150000
2025-01-07	HU	20250107-0500	108.150000
2025-01-07	HU	20250107-0600	112.160000
2025-01-07	HU	20250107-0700	108.150000
2025-01-07	HU	20250107-0800	108.150000
2025-01-07	HU	20250107-0900	108.150000
2025-01-07	HU	20250107-1000	108.150000
2025-01-07	HU	20250107-1100	108.150000
2025-01-07	HU	20250107-1200	108.150000
2025-01-07	HU	20250107-1300	108.150000
