window	zone	arm	n	bias	mae	corr	eve_bias	eve_mae
march2026_stable	NO4	cv22	191	11.50	15.12	-0.05	6.17	18.19
march2026_stable	NO5	base	190	-10.35	12.66	0.65	-11.19	16.62
march2026_stable	NO5	cv22	191	-10.29	12.58	0.66	-11.19	16.62
march2026_stable	PL	base	190	-18.87	36.14	0.80	-64.21	64.21
march2026_stable	PL	cv22	191	-18.13	36.76	0.80	-63.99	63.99
march2026_stable	PT	base	190	26.22	28.32	0.84	46.45	46.64
march2026_stable	PT	cv22	191	26.09	28.26	0.83	46.45	46.64
march2026_stable	RO	base	190	-3.27	20.27	0.91	-5.79	21.74
march2026_stable	RO	cv22	191	-5.21	21.44	0.91	-9.06	22.23
march2026_stable	RS	base	190	9.43	23.66	0.84	11.68	27.27
march2026_stable	RS	cv22	191	7.65	22.15	0.85	8.41	25.33
march2026_stable	SE1	base	190	-7.23	19.25	0.67	-14.81	20.17
march2026_stable	SE1	cv22	191	-7.29	19.25	0.67	-14.81	20.17
march2026_stable	SE2	base	190	0.04	23.62	0.52	-14.36	18.54
march2026_stable	SE2	cv22	191	-0.07	23.61	0.52	-14.36	18.54
march2026_stable	SE3	base	190	27.63	30.79	0.32	20.24	23.79
march2026_stable	SE3	cv22	191	27.50	30.76	0.32	20.24	23.79
march2026_stable	SE4	base	190	-21.04	28.11	0.74	-39.05	39.40
march2026_stable	SE4	cv22	191	-21.70	28.84	0.71	-38.91	39.25
march2026_stable	SI	base	190	-21.76	30.66	0.84	-32.70	33.53
march2026_stable	SI	cv22	191	-21.09	30.01	0.86	-35.47	35.47
march2026_stable	SK	base	190	-18.71	38.27	0.80	-55.97	55.97
march2026_stable	SK	cv22	191	-15.17	38.31	0.77	-50.84	50.84
