EU	ES	20260303-1000	10.5200000000
EU	ES	20260303-1100	5.3600000000
EU	ES	20260303-1200	5.3600000000
EU	ES	20260303-1300	5.3600000000
EU	ES	20260303-1400	5.3600000000
EU	ES	20260303-1500	9.5000000000
EU	ES	20260303-1600	67.2200000000
EU	ES	20260303-1700	125.0100000000
EU	ES	20260303-1800	180.7400000000
EU	ES	20260303-1900	151.2500000000
EU	ES	20260303-2000	101.8600000000
EU	ES	20260303-2100	101.8600000000
EU	ES	20260303-2200	101.8600000000
EU	ES	20260303-2300	101.8600000000
EU	FI	20260303-0000	57.0000000000
EU	FI	20260303-0100	30.0000000000
EU	FI	20260303-0200	11.5300000000
EU	FI	20260303-0300	9.5000000000
EU	FI	20260303-0400	9.5000000000
EU	FI	20260303-0500	5.3600000000
EU	FI	20260303-0600	5.0000000000
EU	FI	20260303-0700	5.0000000000
EU	FI	20260303-0800	5.0000000000
EU	FI	20260303-0900	4.8300000000
EU	FI	20260303-1000	3.9700000000
EU	FI	20260303-1100	3.7500000000
EU	FI	20260303-1200	3.7500000000
EU	FI	20260303-1300	3.7500000000
EU	FI	20260303-1400	3.9700000000
EU	FI	20260303-1500	4.8000000000
EU	FI	20260303-1600	5.0000000000
EU	FI	20260303-1700	5.0000000000
EU	FI	20260303-1800	5.0000000000
EU	FI	20260303-1900	5.0000000000
EU	FI	20260303-2000	5.0000000000
EU	FI	20260303-2100	5.0000000000
EU	FI	20260303-2200	4.8300000000
EU	FI	20260303-2300	5.0000000000
EU	FR	20260303-0000	67.2200000000
EU	FR	20260303-0100	65.5300000000
EU	FR	20260303-0200	51.9200000000
EU	FR	20260303-0300	51.9500000000
EU	FR	20260303-0400	66.4000000000
EU	FR	20260303-0500	101.8600000000
EU	FR	20260303-0600	184.6500000000
EU	FR	20260303-0700	224.6600000000
EU	FR	20260303-0800	146.7700000000
EU	FR	20260303-0900	90.3400000000
EU	FR	20260303-1000	55.1000000000
EU	FR	20260303-1100	41.7800000000
EU	FR	20260303-1200	41.8100000000
EU	FR	20260303-1300	45.8200000000
EU	FR	20260303-1400	52.4200000000
EU	FR	20260303-1500	64.7300000000
EU	FR	20260303-1600	101.8600000000
EU	FR	20260303-1700	163.9600000000
EU	FR	20260303-1800	181.3400000000
EU	FR	20260303-1900	151.2500000000
EU	FR	20260303-2000	101.8600000000
EU	FR	20260303-2100	101.8600000000
EU	FR	20260303-2200	101.8600000000
EU	FR	20260303-2300	101.8600000000
EU	GR	20260303-0000	102.3300000000
EU	GR	20260303-0100	102.3300000000
EU	GR	20260303-0200	101.8600000000
EU	GR	20260303-0300	102.3300000000
EU	GR	20260303-0400	102.3300000000
EU	GR	20260303-0500	122.2400000000
EU	GR	20260303-0600	122.2400000000
EU	GR	20260303-0700	101.8600000000
EU	GR	20260303-0800	101.8600000000
EU	GR	20260303-0900	67.2200000000
EU	GR	20260303-1000	5.3600000000
EU	GR	20260303-1100	5.3600000000
EU	GR	20260303-1200	9.5000000000
EU	GR	20260303-1300	67.7200000000
EU	GR	20260303-1400	101.8600000000
EU	GR	20260303-1500	122.2400000000
EU	GR	20260303-1600	179.6600000000
EU	GR	20260303-1700	187.6400000000
EU	GR	20260303-1800	186.9700000000
EU	GR	20260303-1900	180.7600000000
EU	GR	20260303-2000	156.5200000000
EU	GR	20260303-2100	122.2400000000
EU	GR	20260303-2200	117.3500000000
EU	GR	20260303-2300	101.8600000000
EU	HU	20260303-0000	13.5200000000
EU	HU	20260303-0100	11.1600000000
EU	HU	20260303-0200	13.2600000000
EU	HU	20260303-0300	47.3900000000
EU	HU	20260303-0400	85.5600000000
EU	HU	20260303-0500	122.2400000000
EU	HU	20260303-0600	101.8600000000
EU	HU	20260303-0700	67.7200000000
EU	HU	20260303-0800	10.5000000000
EU	HU	20260303-0900	5.3900000000
EU	HU	20260303-1000	5.3600000000
EU	HU	20260303-1100	5.3600000000
EU	HU	20260303-1200	5.3900000000
EU	HU	20260303-1300	9.5000000000
EU	HU	20260303-1400	16.3300000000
EU	HU	20260303-1500	101.8600000000
EU	HU	20260303-1600	103.1700000000
EU	HU	20260303-1700	193.0000000000
EU	HU	20260303-1800	170.1700000000
EU	HU	20260303-1900	107.2200000000
EU	HU	20260303-2000	101.8600000000
EU	HU	20260303-2100	75.3400000000
EU	HU	20260303-2200	50.4400000000
EU	HU	20260303-2300	101.8600000000
EU	IT-CNORTH	20260303-0000	122.2400000000
EU	IT-CNORTH	20260303-0100	122.2400000000
EU	IT-CNORTH	20260303-0200	122.2400000000
EU	IT-CNORTH	20260303-0300	122.2400000000
EU	IT-CNORTH	20260303-0400	122.2400000000
EU	IT-CNORTH	20260303-0500	122.2400000000
EU	IT-CNORTH	20260303-0600	294.6000000000
EU	IT-CNORTH	20260303-0700	398.9800000000
EU	IT-CNORTH	20260303-0800	321.9600000000
EU	IT-CNORTH	20260303-0900	248.6400000000
EU	IT-CNORTH	20260303-1000	211.1500000000
EU	IT-CNORTH	20260303-1100	160.3800000000
EU	IT-CNORTH	20260303-1200	160.5200000000
EU	IT-CNORTH	20260303-1300	177.4500000000
EU	IT-CNORTH	20260303-1400	204.1900000000
EU	IT-CNORTH	20260303-1500	251.6100000000
EU	IT-CNORTH	20260303-1600	331.1900000000
EU	IT-CNORTH	20260303-1700	378.3600000000
EU	IT-CNORTH	20260303-1800	395.9900000000
EU	IT-CNORTH	20260303-1900	229.2300000000
EU	IT-CNORTH	20260303-2000	123.8000000000
EU	IT-CNORTH	20260303-2100	122.2400000000
EU	IT-CNORTH	20260303-2200	122.2400000000
EU	IT-CNORTH	20260303-2300	122.2400000000
EU	IT-CSOUTH	20260303-0000	122.2400000000
EU	IT-CSOUTH	20260303-0100	122.2400000000
EU	IT-CSOUTH	20260303-0200	122.2400000000
EU	IT-CSOUTH	20260303-0300	122.2400000000
EU	IT-CSOUTH	20260303-0400	122.2400000000
EU	IT-CSOUTH	20260303-0500	122.2400000000
EU	IT-CSOUTH	20260303-0600	122.2400000000
EU	IT-CSOUTH	20260303-0700	122.2400000000
EU	IT-CSOUTH	20260303-0800	122.2400000000
EU	IT-CSOUTH	20260303-0900	122.2400000000
EU	IT-CSOUTH	20260303-1000	122.2400000000
EU	IT-CSOUTH	20260303-1100	122.2400000000
EU	IT-CSOUTH	20260303-1200	122.2400000000
EU	IT-CSOUTH	20260303-1300	122.2400000000
EU	IT-CSOUTH	20260303-1400	122.2400000000
EU	IT-CSOUTH	20260303-1500	122.2400000000
EU	IT-CSOUTH	20260303-1600	122.2400000000
EU	IT-CSOUTH	20260303-1700	122.2400000000
EU	IT-CSOUTH	20260303-1800	122.2400000000
EU	IT-CSOUTH	20260303-1900	122.2400000000
EU	IT-CSOUTH	20260303-2000	122.2400000000
EU	IT-CSOUTH	20260303-2100	122.2400000000
EU	IT-CSOUTH	20260303-2200	122.2400000000
EU	IT-CSOUTH	20260303-2300	122.2400000000
EU	IT-Calabria	20260303-0000	122.2400000000
EU	IT-Calabria	20260303-0100	122.2400000000
EU	IT-Calabria	20260303-0200	122.2400000000
EU	IT-Calabria	20260303-0300	122.2400000000
EU	IT-Calabria	20260303-0400	122.2400000000
EU	IT-Calabria	20260303-0500	122.2400000000
EU	IT-Calabria	20260303-0600	122.2400000000
EU	IT-Calabria	20260303-0700	122.2400000000
EU	IT-Calabria	20260303-0800	122.2400000000
EU	IT-Calabria	20260303-0900	122.2400000000
EU	IT-Calabria	20260303-1000	122.2400000000
EU	IT-Calabria	20260303-1100	122.2400000000
EU	IT-Calabria	20260303-1200	122.2400000000
EU	IT-Calabria	20260303-1300	122.2400000000
EU	IT-Calabria	20260303-1400	122.2400000000
EU	IT-Calabria	20260303-1500	122.2400000000
EU	IT-Calabria	20260303-1600	122.2400000000
EU	IT-Calabria	20260303-1700	122.2400000000
