mode	day	zone	timeslot	price
1z	2026-01-15	RO	20260115-0230	115.480000
1z	2026-01-15	RO	20260115-0700	250.000000
1z	2026-01-15	RO	20260115-0130	109.220000
1z	2026-01-15	RO	20260115-2245	126.620000
1z	2026-01-15	RO	20260115-0945	142.960000
1z	2026-01-15	RO	20260115-1945	215.870000
1z	2026-01-15	RO	20260115-0400	113.700000
1z	2026-01-15	RO	20260115-0715	250.000000
1z	2026-01-15	RO	20260115-1115	126.620000
1z	2026-01-15	RO	20260115-1130	132.230000
1z	2026-01-15	RO	20260115-1015	138.030000
1z	2026-01-15	RO	20260115-2230	126.620000
1z	2026-01-15	RO	20260115-1330	204.430000
1z	2026-01-15	RO	20260115-1815	374.280000
1z	2026-01-15	RO	20260115-0645	388.700000
1z	2026-01-15	RO	20260115-0830	155.050000
1z	2026-01-15	RO	20260115-0030	109.220000
1z	2026-01-15	RO	20260115-2030	219.980000
1z	2026-01-15	RS	20260115-1200	248.930000
1z	2026-01-15	RS	20260115-1300	224.360000
1z	2026-01-15	RS	20260115-1600	358.340000
1z	2026-01-15	RS	20260115-1500	264.700000
1z	2026-01-15	RS	20260115-0800	350.160000
1z	2026-01-15	RS	20260115-0200	126.620000
1z	2026-01-15	RS	20260115-1700	348.850000
1z	2026-01-15	RS	20260115-0700	321.530000
1z	2026-01-15	RS	20260115-1100	268.470000
1z	2026-01-15	RS	20260115-2000	240.760000
1z	2026-01-15	RS	20260115-0600	250.850000
1z	2026-01-15	RS	20260115-1900	300.610000
1z	2026-01-15	RS	20260115-0400	126.620000
1z	2026-01-15	RS	20260115-0000	126.620000
1z	2026-01-15	RS	20260115-1400	217.650000
1z	2026-01-15	RS	20260115-2300	182.240000
1z	2026-01-15	RS	20260115-0300	126.620000
1z	2026-01-15	RS	20260115-1000	291.930000
1z	2026-01-15	RS	20260115-1800	345.750000
1z	2026-01-15	RS	20260115-0100	126.620000
1z	2026-01-15	RS	20260115-2100	205.230000
1z	2026-01-15	RS	20260115-2200	193.670000
1z	2026-01-15	RS	20260115-0900	316.060000
1z	2026-01-15	RS	20260115-0500	126.620000
1z	2026-01-15	HU	20260115-2015	110.300000
1z	2026-01-15	HU	20260115-2345	87.080000
1z	2026-01-15	HU	20260115-1245	113.430000
1z	2026-01-15	HU	20260115-1530	159.570000
1z	2026-01-15	HU	20260115-1600	126.620000
1z	2026-01-15	HU	20260115-1500	150.200000
1z	2026-01-15	HU	20260115-1030	87.080000
1z	2026-01-15	HU	20260115-1100	87.080000
1z	2026-01-15	HU	20260115-0515	87.080000
1z	2026-01-15	HU	20260115-0730	87.080000
1z	2026-01-15	HU	20260115-2315	87.080000
1z	2026-01-15	HU	20260115-0600	87.080000
1z	2026-01-15	HU	20260115-0245	87.080000
1z	2026-01-15	HU	20260115-1145	87.080000
1z	2026-01-15	HU	20260115-2215	107.220000
1z	2026-01-15	HU	20260115-0545	126.620000
1z	2026-01-15	HU	20260115-0415	87.080000
1z	2026-01-15	HU	20260115-1400	110.300000
1z	2026-01-15	HU	20260115-1430	126.620000
1z	2026-01-15	HU	20260115-0915	87.080000
1z	2026-01-15	HU	20260115-0845	87.080000
1z	2026-01-15	HU	20260115-2100	110.300000
1z	2026-01-15	HU	20260115-2200	110.300000
1z	2026-01-15	HU	20260115-1230	113.300000
1z	2026-01-15	HU	20260115-1300	107.730000
1z	2026-01-15	HU	20260115-0015	87.080000
1z	2026-01-15	HU	20260115-1730	126.620000
1z	2026-01-15	HU	20260115-1700	126.620000
1z	2026-01-15	HU	20260115-2000	110.300000
1z	2026-01-15	HU	20260115-1900	126.620000
1z	2026-01-15	HU	20260115-0815	87.080000
1z	2026-01-15	HU	20260115-1915	126.620000
1z	2026-01-15	HU	20260115-1415	126.620000
1z	2026-01-15	HU	20260115-0445	87.080000
1z	2026-01-15	HU	20260115-1615	126.620000
1z	2026-01-15	HU	20260115-1845	110.300000
1z	2026-01-15	HU	20260115-2300	87.080000
1z	2026-01-15	HU	20260115-1645	126.620000
1z	2026-01-15	HU	20260115-1800	126.620000
1z	2026-01-15	HU	20260115-0100	87.080000
1z	2026-01-15	HU	20260115-0045	87.080000
1z	2026-01-15	HU	20260115-0745	87.080000
1z	2026-01-15	HU	20260115-2045	87.080000
1z	2026-01-15	HU	20260115-0115	87.080000
1z	2026-01-15	HU	20260115-0430	87.080000
1z	2026-01-15	HU	20260115-0530	108.060000
1z	2026-01-15	HU	20260115-1830	126.620000
1z	2026-01-15	HU	20260115-2115	110.300000
1z	2026-01-15	HU	20260115-1215	114.240000
1z	2026-01-15	HU	20260115-0200	87.080000
1z	2026-01-15	HU	20260115-0330	87.080000
1z	2026-01-15	HU	20260115-2130	106.790000
1z	2026-01-15	HU	20260115-0145	87.080000
1z	2026-01-15	HU	20260115-0215	87.080000
1z	2026-01-15	HU	20260115-0615	87.080000
1z	2026-01-15	HU	20260115-0000	87.080000
1z	2026-01-15	HU	20260115-0315	87.080000
1z	2026-01-15	HU	20260115-0345	87.080000
1z	2026-01-15	HU	20260115-1045	87.080000
1z	2026-01-15	HU	20260115-0300	87.080000
1z	2026-01-15	HU	20260115-1000	87.080000
1z	2026-01-15	HU	20260115-1545	159.570000
1z	2026-01-15	HU	20260115-0900	87.080000
1z	2026-01-15	HU	20260115-2330	87.080000
1z	2026-01-15	HU	20260115-0630	110.300000
1z	2026-01-15	HU	20260115-1715	126.620000
1z	2026-01-15	HU	20260115-0500	87.080000
1z	2026-01-15	HU	20260115-1745	126.620000
1z	2026-01-15	HU	20260115-1200	126.620000
