zone,unit_code,unit_name,firm,source
FR,17W100P100P1619W,GERVANS G3,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P16218,GERVANS G4,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1734W,LOGIS-NEUF G1,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1735U,LOGIS-NEUF G2,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1736S,LOGIS-NEUF G3,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1737Q,LOGIS-NEUF G4,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1738O,LOGIS-NEUF G5,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1739M,LOGIS-NEUF G6,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1827P,PIERRE-BENITE G2,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1828N,PIERRE-BENITE G3,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1829L,PIERRE-BENITE G4,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P19004,SABLONS G1,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P19012,SABLONS G2,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P19020,SABLONS G3,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1903Z,SABLONS G4,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1929H,SAULT-BRENAZ G1,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1930W,SAULT-BRENAZ G2,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1932S,SEYSSEL G1,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1933Q,SEYSSEL G2,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P1934O,SEYSSEL G3,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P2036E,VAUGRIS G1,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P2037C,VAUGRIS G2,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P2038A,VAUGRIS G3,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P20398,VAUGRIS G4,EDF (CNR/SHEM excepted),"name-rule wave1 (July 2026), verify before publication"
FR,17W100P100P20746,COCHE 5,EDF,"name-rule wave1 (July 2026), verify before publication"
