window	arm	zone	n	corr	mae	bias	sim_mean	act_mean
jul	B	IT-Sardinia	308	0.7358	23.258	-21.113	135.498	156.611
jul	B	IT-Sicily	308	0.6111	25.520	-20.288	144.844	165.132
jul	B	LT	308	0.7175	51.642	-47.542	47.964	95.506
jul	B	LV	308	0.7123	52.055	-48.744	44.975	93.719
jul	B	ME	308	0.0876	44.689	26.966	148.006	121.039
jul	B	MK	165	0.8747	27.988	0.835	119.708	118.874
jul	B	NL	308	0.8324	33.994	-22.051	86.300	108.351
jul	B	NO1	308	0.8413	29.252	-28.352	74.973	103.324
jul	B	NO2	308	0.8953	21.362	-20.307	89.209	109.516
jul	B	NO3	308	-0.0752	40.779	19.415	91.659	72.244
jul	B	NO4	308	0.1793	21.083	21.027	38.589	17.561
jul	B	NO5	308	0.6555	22.352	-19.168	84.972	104.141
jul	B	PL	308	0.7539	39.348	-32.002	88.957	120.959
jul	B	PT	308	0.8720	29.314	-11.455	105.977	117.432
jul	B	RO	308	0.8506	27.925	-4.086	116.798	120.884
jul	B	RS	308	0.8714	24.757	2.998	117.315	114.317
jul	B	SE1	308	0.3720	27.312	20.438	33.162	12.724
jul	B	SE2	308	0.5904	21.301	14.821	27.906	13.085
jul	B	SE3	308	0.7849	16.876	9.676	70.532	60.856
jul	B	SE4	308	0.6294	52.105	-43.159	59.465	102.624
jul	B	SI	308	0.6238	77.344	-76.468	48.357	124.826
jul	B	SK	308	0.8562	50.598	-47.673	73.380	121.052
mar	A	AT	191	0.8533	21.088	0.529	103.170	102.641
mar	A	BE	191	0.8095	23.754	2.291	98.440	96.149
mar	A	BG	191	0.8935	21.038	-1.387	96.360	97.746
mar	A	CH	191	0.8134	22.569	-16.342	103.216	119.559
mar	A	CZ	191	0.7137	35.443	-20.594	85.445	106.039
mar	A	DE_LU	191	0.9012	20.420	-1.561	102.274	103.835
mar	A	DK1	191	0.5460	27.710	-3.580	106.905	110.484
mar	A	DK2	191	0.8535	21.942	-11.514	98.335	109.850
mar	A	EE	191	0.6490	43.057	-31.255	62.378	93.633
mar	A	ES	191	0.8162	28.621	26.060	78.039	51.979
mar	A	FI	191	0.9083	15.733	-13.325	28.435	41.760
mar	A	FR	191	0.8438	23.246	16.107	75.829	59.723
mar	A	GR	191	0.9450	12.917	1.733	87.628	85.895
mar	A	HU	191	0.8575	28.186	-18.429	89.807	108.236
mar	A	IT-CNORTH	191	0.3312	26.691	7.140	143.852	136.712
mar	A	IT-CSOUTH	191	0.6739	16.340	-11.384	125.109	136.493
mar	A	IT-Calabria	191	0.6732	15.793	-10.764	125.109	135.873
mar	A	IT-NORTH	191	0.3318	26.699	7.132	143.833	136.700
mar	A	IT-SOUTH	191	0.6739	16.340	-11.384	125.109	136.493
mar	A	IT-Sardinia	191	0.6893	16.825	-13.183	121.988	135.170
mar	A	IT-Sicily	191	0.6414	19.536	-14.701	125.931	140.632
mar	A	LT	191	0.6897	40.879	-37.825	75.678	113.503
mar	A	LV	191	0.6603	45.929	-44.753	70.402	115.154
mar	A	NL	191	0.7006	32.269	-4.329	100.224	104.553
mar	A	NO1	191	0.6498	17.561	-16.591	88.648	105.240
mar	A	NO2	191	0.7463	10.853	2.214	106.901	104.687
mar	A	NO3	191	-0.2269	22.686	13.210	90.224	77.013
mar	A	NO4	191	-0.0479	15.117	11.502	35.476	23.974
mar	A	NO5	191	0.6518	12.592	-10.417	92.989	103.406
mar	A	PL	191	0.7975	36.186	-19.055	85.345	104.399
mar	A	PT	191	0.8401	28.138	26.445	77.281	50.836
mar	A	RO	191	0.9071	20.163	-3.208	96.360	99.568
mar	A	RS	191	0.8444	23.664	9.557	96.250	86.693
mar	A	SE1	191	0.6680	19.249	-7.287	20.205	27.492
mar	A	SE2	191	0.5244	23.611	-0.067	28.223	28.290
mar	A	SE3	191	0.3244	29.437	26.813	92.040	65.226
mar	A	SE4	191	0.7359	28.494	-21.460	78.569	100.030
mar	A	SI	191	0.8386	30.407	-21.532	82.057	103.589
mar	A	SK	191	0.8326	37.991	-18.539	87.404	105.943
mar	B	AL	191	0.5826	57.519	42.034	128.449	86.415
mar	B	AT	191	0.8427	21.488	0.211	102.852	102.641
mar	B	BE	191	0.8085	23.736	2.228	98.378	96.149
mar	B	BG	191	0.9033	20.130	3.094	100.840	97.746
mar	B	CH	191	0.8160	22.431	-16.394	103.164	119.559
mar	B	CZ	191	0.7175	35.324	-20.654	85.385	106.039
mar	B	DE_LU	191	0.9012	20.513	-1.654	102.181	103.835
mar	B	DK1	191	0.5382	27.790	-3.656	106.829	110.484
mar	B	DK2	191	0.8507	22.018	-11.591	98.259	109.850
mar	B	EE	191	0.6953	42.588	-32.405	61.228	93.633
mar	B	ES	191	0.8160	28.593	25.878	77.857	51.979
mar	B	FI	191	0.9086	15.716	-13.309	28.451	41.760
mar	B	FR	191	0.8449	22.979	15.704	75.426	59.723
mar	B	GR	191	0.9228	17.527	10.620	96.515	85.895
mar	B	HR	191	0.8936	19.978	-3.856	99.139	102.995
mar	B	HU	191	0.8526	27.771	-17.873	90.362	108.236
mar	B	IT-CNORTH	191	0.3361	26.136	6.454	143.165	136.712
mar	B	IT-CSOUTH	191	0.6801	16.261	-11.576	124.916	136.493
mar	B	IT-Calabria	191	0.6792	15.714	-10.956	124.916	135.873
mar	B	IT-NORTH	191	0.3367	26.143	6.446	143.146	136.700
mar	B	IT-SOUTH	191	0.6801	16.261	-11.576	124.916	136.493
mar	B	IT-Sardinia	191	0.6948	16.752	-13.301	121.869	135.170
mar	B	IT-Sicily	191	0.6480	19.472	-14.879	125.754	140.632
mar	B	LT	191	0.6785	41.153	-38.100	75.403	113.503
mar	B	LV	191	0.6514	46.290	-45.113	70.041	115.154
mar	B	ME	191	0.6054	56.890	55.747	124.615	68.868
mar	B	MK	191	0.8891	19.818	11.549	100.086	88.537
mar	B	NL	191	0.7006	32.276	-4.335	100.217	104.553
mar	B	NO1	191	0.6519	17.664	-16.694	88.546	105.240
mar	B	NO2	191	0.7354	10.970	1.730	106.417	104.687
