zone	timeslot	price
NO4	20260301-0000	18.17
NO4	20260301-0600	22.15
NO4	20260301-0200	17.91
NO4	20260301-0900	26.11
NO4	20260301-1400	30.81
SE3	20260301-0500	72.12
SE3	20260301-1200	51.3
SE3	20260301-1500	72.88
SE3	20260301-0400	72.12
SE3	20260301-0800	72.12
SE3	20260301-1900	82.42
SE3	20260301-0100	51.3
SE3	20260301-1100	54.52
SE3	20260301-2100	72.12
SE3	20260301-1700	83
SE3	20260301-1600	84.35
SE3	20260301-0700	72.12
SE3	20260301-2000	82.42
SE3	20260301-2200	72.12
SE3	20260301-2300	72.12
SE3	20260301-1000	54.63
SE3	20260301-1800	82.42
SE3	20260301-0300	72.12
SE3	20260301-1300	51.3
SE3	20260301-0000	57
SE3	20260301-0600	72.12
SE3	20260301-0200	57
SE3	20260301-0900	56.74
SE3	20260301-1400	72.12
FR	20260301-0500	43.33
FR	20260301-1200	37.09
FR	20260301-1500	28.2
FR	20260301-0400	43.33
FR	20260301-0800	30.73
FR	20260301-1900	80.13
FR	20260301-0100	44.35
FR	20260301-1100	56.4
FR	20260301-2100	56.13
FR	20260301-1700	44.35
FR	20260301-1600	30.46
FR	20260301-0700	43.35
FR	20260301-2000	80.13
FR	20260301-2200	49.67
FR	20260301-2300	39.2
FR	20260301-1000	44.35
FR	20260301-1800	80.13
FR	20260301-0300	43.04
FR	20260301-1300	26.64
FR	20260301-0000	57
FR	20260301-0600	43.33
FR	20260301-0200	42.09
FR	20260301-0900	27.72
FR	20260301-1400	28.12
FI	20260301-0500	39.66
FI	20260301-1200	57
FI	20260301-1500	56.4
FI	20260301-0400	39.66
FI	20260301-0800	39.66
FI	20260301-1900	57
FI	20260301-0100	56.4
FI	20260301-1100	44.35
FI	20260301-2100	54.89
FI	20260301-1700	57
FI	20260301-1600	57
FI	20260301-0700	39.66
FI	20260301-2000	57
FI	20260301-2200	44.35
FI	20260301-2300	44.35
FI	20260301-1000	39.66
FI	20260301-1800	57
FI	20260301-0300	39.66
FI	20260301-1300	57
FI	20260301-0000	44.35
FI	20260301-0600	39.66
FI	20260301-0200	44.35
FI	20260301-0900	39.66
FI	20260301-1400	57
PL	20260301-0500	84.35
PL	20260301-1200	56.4
PL	20260301-1500	91.58
PL	20260301-0400	80.13
PL	20260301-0800	56.4
PL	20260301-1900	102.13
PL	20260301-0100	80.13
PL	20260301-1100	4.82
PL	20260301-2100	91.58
PL	20260301-1700	102.13
PL	20260301-1600	102.13
PL	20260301-0700	56.4
PL	20260301-2000	102.13
PL	20260301-2200	91.58
PL	20260301-2300	91.58
PL	20260301-1000	4.82
PL	20260301-1800	102.13
PL	20260301-0300	80.13
PL	20260301-1300	63
PL	20260301-0000	91.31
PL	20260301-0600	80.13
PL	20260301-0200	80.13
PL	20260301-0900	4.82
PL	20260301-1400	80.13
IT-Calabria	20260301-0500	96.16
IT-Calabria	20260301-1200	92.43
IT-Calabria	20260301-1500	96.16
IT-Calabria	20260301-0400	96.16
IT-Calabria	20260301-0800	96.16
IT-Calabria	20260301-1900	96.16
IT-Calabria	20260301-0100	96.16
IT-Calabria	20260301-1100	96.16
IT-Calabria	20260301-2100	96.16
IT-Calabria	20260301-1700	96.16
IT-Calabria	20260301-1600	96.16
IT-Calabria	20260301-0700	96.16
IT-Calabria	20260301-2000	96.16
IT-Calabria	20260301-2200	96.16
IT-Calabria	20260301-2300	96.16
IT-Calabria	20260301-1000	96.16
IT-Calabria	20260301-1800	96.16
IT-Calabria	20260301-0300	96.16
IT-Calabria	20260301-1300	96.16
IT-Calabria	20260301-0000	96.16
IT-Calabria	20260301-0600	96.16
IT-Calabria	20260301-0200	96.16
IT-Calabria	20260301-0900	96.16
IT-Calabria	20260301-1400	96.16
AT	20260301-0500	84.35
AT	20260301-1200	57.5
AT	20260301-1500	84.35
AT	20260301-0400	80.13
AT	20260301-0800	80.13
AT	20260301-1900	91.58
AT	20260301-0100	69.06
AT	20260301-1100	60.24
AT	20260301-2100	84.35
AT	20260301-1700	96.16
AT	20260301-1600	96.16
AT	20260301-0700	84.35
AT	20260301-2000	91.58
AT	20260301-2200	84.35
AT	20260301-2300	82.5
AT	20260301-1000	60.37
AT	20260301-1800	96.16
AT	20260301-0300	80.13
AT	20260301-1300	63
AT	20260301-0000	67.85
AT	20260301-0600	84.35
AT	20260301-0200	74.35
AT	20260301-0900	74.72
AT	20260301-1400	80.13
SE2	20260301-0500	49.04
SE2	20260301-1200	65.15
SE2	20260301-1500	62.86
SE2	20260301-0400	41.25
SE2	20260301-0800	64.15
SE2	20260301-1900	53.69
SE2	20260301-0100	36.62
SE2	20260301-1100	64.25
SE2	20260301-2100	49.94
SE2	20260301-1700	57.16
SE2	20260301-1600	60.4
SE2	20260301-0700	59.23
SE2	20260301-2000	50.83
SE2	20260301-2200	49.19
SE2	20260301-2300	36.57
SE2	20260301-1000	63.49
SE2	20260301-1800	55.96
SE2	20260301-0300	36.62
SE2	20260301-1300	65.22
SE2	20260301-0000	36.62
SE2	20260301-0600	54.52
SE2	20260301-0200	36.62
SE2	20260301-0900	64.25
SE2	20260301-1400	64.66
IT-NORTH	20260301-0500	96.16
IT-NORTH	20260301-1200	92.43
IT-NORTH	20260301-1500	96.16
IT-NORTH	20260301-0400	96.16
IT-NORTH	20260301-0800	96.16
IT-NORTH	20260301-1900	96.16
IT-NORTH	20260301-0100	96.16
IT-NORTH	20260301-1100	96.16
IT-NORTH	20260301-2100	96.16
IT-NORTH	20260301-1700	96.16
IT-NORTH	20260301-1600	96.16
IT-NORTH	20260301-0700	96.16
IT-NORTH	20260301-2000	96.16
IT-NORTH	20260301-2200	96.16
IT-NORTH	20260301-2300	96.16
IT-NORTH	20260301-1000	96.16
IT-NORTH	20260301-1800	96.16
IT-NORTH	20260301-0300	94.92
IT-NORTH	20260301-1300	96.16
IT-NORTH	20260301-0000	96.16
IT-NORTH	20260301-0600	96.16
IT-NORTH	20260301-0200	93.68
IT-NORTH	20260301-0900	96.16
IT-NORTH	20260301-1400	96.16
LT	20260301-0500	39.66
LT	20260301-1200	23.75
LT	20260301-1500	45.57
LT	20260301-0400	39.66
LT	20260301-0800	39.66
LT	20260301-1900	61.91
LT	20260301-0100	56.4
LT	20260301-1100	23.75
LT	20260301-2100	54.89
LT	20260301-1700	57
LT	20260301-1600	57
LT	20260301-0700	39.66
LT	20260301-2000	57
LT	20260301-2200	44.35
LT	20260301-2300	44.35
LT	20260301-1000	26.35
LT	20260301-1800	70.78
LT	20260301-0300	39.66
LT	20260301-1300	26.25
LT	20260301-0000	44.35
LT	20260301-0600	39.66
LT	20260301-0200	44.35
LT	20260301-0900	30
LT	20260301-1400	1
PT	20260301-0500	43.33
PT	20260301-1200	2.85
PT	20260301-1500	1
PT	20260301-0400	43.33
PT	20260301-0800	13.06
PT	20260301-1900	80.13
PT	20260301-0100	44.35
PT	20260301-1100	2.85
PT	20260301-2100	56.13
PT	20260301-1700	44.35
PT	20260301-1600	4.22
PT	20260301-0700	43.35
PT	20260301-2000	80.13
PT	20260301-2200	49.67
PT	20260301-2300	39.2
PT	20260301-1000	2.85
PT	20260301-1800	80.13
PT	20260301-0300	43.04
PT	20260301-1300	1
PT	20260301-0000	57
PT	20260301-0600	43.33
PT	20260301-0200	42.09
PT	20260301-0900	4.22
PT	20260301-1400	1
NO2	20260301-0500	84.35
NO2	20260301-1200	65.9
NO2	20260301-1500	84.35
NO2	20260301-0400	84.35
NO2	20260301-0800	84.35
NO2	20260301-1900	91.58
NO2	20260301-0100	73.46
NO2	20260301-1100	69.26
NO2	20260301-2100	84.35
NO2	20260301-1700	91.58
NO2	20260301-1600	98.1
NO2	20260301-0700	84.35
NO2	20260301-2000	91.58
NO2	20260301-2200	84.35
NO2	20260301-2300	84.35
NO2	20260301-1000	69.39
NO2	20260301-1800	98.1
NO2	20260301-0300	84.35
NO2	20260301-1300	73.46
NO2	20260301-0000	73.46
NO2	20260301-0600	84.35
NO2	20260301-0200	78.23
NO2	20260301-0900	78.2
NO2	20260301-1400	84.35
LV	20260301-0500	39.66
LV	20260301-1200	57
LV	20260301-1500	56.4
LV	20260301-0400	39.66
LV	20260301-0800	39.66
LV	20260301-1900	61.91
LV	20260301-0100	56.4
LV	20260301-1100	44.35
LV	20260301-2100	54.89
LV	20260301-1700	57
LV	20260301-1600	57
LV	20260301-0700	39.66
LV	20260301-2000	57
LV	20260301-2200	44.35
LV	20260301-2300	44.35
LV	20260301-1000	39.66
LV	20260301-1800	70.78
LV	20260301-0300	39.66
LV	20260301-1300	57
LV	20260301-0000	44.35
LV	20260301-0600	39.66
LV	20260301-0200	44.35
LV	20260301-0900	39.66
LV	20260301-1400	57
NL	20260301-0500	84.35
NL	20260301-1200	65.9
NL	20260301-1500	84.35
NL	20260301-0400	80.13
NL	20260301-0800	80.13
NL	20260301-1900	91.58
NL	20260301-0100	80.13
NL	20260301-1100	56.4
NL	20260301-2100	80.13
NL	20260301-1700	91.58
NL	20260301-1600	91.58
NL	20260301-0700	84.35
NL	20260301-2000	91.58
NL	20260301-2200	80.13
NL	20260301-2300	80.13
NL	20260301-1000	69.39
NL	20260301-1800	91.58
NL	20260301-0300	80.13
NL	20260301-1300	80.13
NL	20260301-0000	80.13
NL	20260301-0600	84.35
NL	20260301-0200	80.13
NL	20260301-0900	80.13
NL	20260301-1400	80.13
NO5	20260301-0500	76.28
NO5	20260301-1200	55.24
NO5	20260301-1500	77.09
NO5	20260301-0400	76.28
NO5	20260301-0800	76.28
NO5	20260301-1900	84.35
NO5	20260301-0100	65.27
NO5	20260301-1100	57.67
NO5	20260301-2100	76.28
NO5	20260301-1700	84.35
NO5	20260301-1600	84.35
NO5	20260301-0700	76.28
NO5	20260301-2000	84.35
NO5	20260301-2200	76.28
NO5	20260301-2300	76.28
NO5	20260301-1000	57.79
NO5	20260301-1800	84.35
NO5	20260301-0300	76.28
NO5	20260301-1300	65.27
NO5	20260301-0000	65.27
NO5	20260301-0600	76.28
NO5	20260301-0200	68.16
NO5	20260301-0900	68.15
NO5	20260301-1400	76.28
BE	20260301-0500	80.13
BE	20260301-1200	23.75
BE	20260301-1500	72.88
BE	20260301-0400	80.13
BE	20260301-0800	72.12
BE	20260301-1900	82.42
BE	20260301-0100	80.13
BE	20260301-1100	10.5
BE	20260301-2100	80.13
BE	20260301-1700	84.35
BE	20260301-1600	84.35
BE	20260301-0700	72.12
BE	20260301-2000	82.42
BE	20260301-2200	72.12
BE	20260301-2300	80.13
BE	20260301-1000	10.5
BE	20260301-1800	84.35
BE	20260301-0300	80.13
BE	20260301-1300	44.35
BE	20260301-0000	80.13
BE	20260301-0600	72.12
BE	20260301-0200	71.6
BE	20260301-0900	44.35
BE	20260301-1400	72.12
RO	20260301-0500	102.13
RO	20260301-1200	9.5
RO	20260301-1500	102.13
RO	20260301-0400	96.86
RO	20260301-0800	68.99
RO	20260301-1900	136.87
RO	20260301-0100	101.85
RO	20260301-1100	9.5
RO	20260301-2100	102.13
RO	20260301-1700	147.61
RO	20260301-1600	140.9
RO	20260301-0700	80.13
RO	20260301-2000	122.8
RO	20260301-2200	102.13
RO	20260301-2300	96.16
RO	20260301-1000	9.5
RO	20260301-1800	144.46
RO	20260301-0300	94.38
RO	20260301-1300	44.35
RO	20260301-0000	102.13
RO	20260301-0600	87.09
RO	20260301-0200	88.12
RO	20260301-0900	16.01
RO	20260301-1400	80.13
DK2	20260301-0500	11
DK2	20260301-1200	23.75
DK2	20260301-1500	70.93
DK2	20260301-0400	11
DK2	20260301-0800	12.27
DK2	20260301-1900	91.58
DK2	20260301-0100	15.37
DK2	20260301-1100	23.75
DK2	20260301-2100	84.35
DK2	20260301-1700	102.13
DK2	20260301-1600	101.08
DK2	20260301-0700	11
DK2	20260301-2000	91.58
DK2	20260301-2200	84.35
DK2	20260301-2300	80.13
DK2	20260301-1000	26.35
DK2	20260301-1800	101.08
DK2	20260301-0300	11
DK2	20260301-1300	26.25
DK2	20260301-0000	12.22
DK2	20260301-0600	12.27
DK2	20260301-0200	12.22
DK2	20260301-0900	30
DK2	20260301-1400	1
BG	20260301-0500	102.13
BG	20260301-1200	9.5
BG	20260301-1500	102.13
BG	20260301-0400	96.86
BG	20260301-0800	68.99
BG	20260301-1900	136.87
BG	20260301-0100	101.85
BG	20260301-1100	9.5
BG	20260301-2100	102.13
BG	20260301-1700	147.61
BG	20260301-1600	140.9
BG	20260301-0700	80.13
BG	20260301-2000	122.8
BG	20260301-2200	102.13
BG	20260301-2300	96.16
BG	20260301-1000	9.5
BG	20260301-1800	144.46
BG	20260301-0300	94.38
BG	20260301-1300	44.35
BG	20260301-0000	102.13
BG	20260301-0600	87.09
BG	20260301-0200	88.12
BG	20260301-0900	16.01
BG	20260301-1400	80.13
IT-CSOUTH	20260301-0500	96.16
IT-CSOUTH	20260301-1200	92.43
IT-CSOUTH	20260301-1500	96.16
IT-CSOUTH	20260301-0400	96.16
IT-CSOUTH	20260301-0800	96.16
IT-CSOUTH	20260301-1900	96.16
