zone,n,r2_phys,d_r2,top_cond,top_cond_imp,top_phys,piv_share,piv_prem,resid_pk,tier1,verdict
SK,1152,0.2787090448344503,-0.0167143032143178,top1_sh,0.1250237767956855,margin,0.6640625,5.850812030473675,36.1312890625,0,physics
CH,1152,-0.005268969314382144,-0.021273653574684026,hhi,0.18823639297364675,res_sh,0.2708333333333333,7.7072850570843885,20.769791666666666,0,noise/unexplained
DE_LU,1152,0.5811578261823933,-0.0218546278466771,rsi,0.2159932290414296,res_sh,0.0138888888888888,,25.268919270833333,0,physics
IT-SOUTH,1152,0.46116535867390196,-0.025146612947833935,rsi,0.03586847562793671,margin,0.8767361111111112,-11.93246490249004,-29.103424479166666,0,physics
CZ,1152,0.2388164290694444,-0.0301117115934645,rsi,0.2477471458507067,margin,0.4661458333333333,16.081168438376963,27.215885416666666,0,noise/unexplained
NL,1152,0.4502456423016681,-0.0301195484904649,top1_sh,0.1711019945812538,res_sh,0.1788194444444444,-5.746300015392636,27.488750000000007,0,physics
SE3,1152,0.2163047448447448,-0.0338455513368858,hhi,0.1088979002604232,gas,0.0625,9.99083589901478,13.134192708333336,0,noise/unexplained
RO,1152,0.1791217441320298,-0.0465396964178835,hhi,0.1446451766715178,res_sh,0.4262152777777778,6.079026769509981,9.227200520833334,1,noise/unexplained
IT-Sicily,1152,0.11376590797491137,-0.04842067332121658,hhi,0.17161848408675962,margin,0.059895833333333336,-37.354462890625,-9.792877604166668,0,noise/unexplained
FI,1152,0.3144423785258088,-0.0588679160586111,top1_sh,0.1739023862388728,res_sh,0.2361111111111111,3.3164618326611173,-1.8637890625000004,0,physics
SE1,1152,0.0353587136105996,-0.0747708544066428,rsi,0.0823975663615084,gas,0.7447916666666666,-3.831423358818716,-15.2823046875,0,noise/unexplained
BG,1152,0.09656191263996361,-0.08150505028628774,rsi,0.12860935358676062,margin,0.5173611111111112,-0.5557014285637466,3.1891927083333313,1,noise/unexplained
BE,1152,0.3341085202390854,-0.0877204309445044,hhi,0.0814683765459811,res_sh,0.03125,,5.093255208333333,0,physics
NO5,1152,0.1025403862886226,-0.0945303991237994,hhi,0.517931562403189,gas,0.8385416666666666,-6.98749638508991,14.145651041666667,0,noise/unexplained
SE2,1152,0.1242406539919203,-0.106158558277821,top1_sh,0.0705023255493916,gas,1.0,,-17.9073828125,0,noise/unexplained
