zone	rule	period	n_hours	mae_mw	median_ae_mw
RS	ana16w	all	18000	195.54213622777777	157.23312499999997
RS	ana16w	evening	3000	150.90663274583332	120.92223750000001
RS	ana16w	jul26	504	111.43751336805556	92.91722500000004
RS	ana16w	jul26_evening	84	120.4387775297619	114.26254999999999
RS	anad2	all	18000	119.2992173736111	89.7074375
RS	anad2	evening	3000	92.27664663541667	66.45448124999997
RS	anad2	jul26	504	75.50709011656745	60.22394062499997
RS	anad2	jul26_evening	84	67.8254613095238	58.55227812499999
RS	anad2w	all	18000	129.69449778541664	100.29809374999999
RS	anad2w	evening	3000	100.33544248125	75.0167
RS	anad2w	jul26	504	78.29157845982142	60.00215
RS	anad2w	jul26_evening	84	72.32232343749999	60.578699999999984
RS	ana16wb	all	18000	154.8311385006944	123.25684999999999
RS	ana16wb	evening	3000	114.37769964166665	87.27430625
RS	ana16wb	jul26	504	90.52009069940476	70.05331874999999
RS	ana16wb	jul26_evening	84	52.23446183035714	43.12926562500006
RS	v3	all	18000	146.25043369444444	117.64183750000002
RS	v3	evening	3000	110.073917125	79.63240624999999
RS	v3	jul26	504	87.68558214285714	74.03753124999996
RS	v3	jul26_evening	84	45.601906101190465	33.40527499999999
SE1	v2	all	18024	376.35434414075183	309.6469125625
SE1	v2	evening	3004	368.44973564045563	312.07949687499996
SE1	v2	jul26	504	290.9476412916832	249.20367750000014
SE1	v2	jul26_evening	84	298.69640795684523	247.31922281250002
SE1	rec3	all	18024	353.4362761533572	289.948125
SE1	rec3	evening	3004	347.61770024768765	283.9889427499999
SE1	rec3	jul26	504	349.4108428074405	301.64811624999993
SE1	rec3	jul26_evening	84	371.003798375	370.4824205
SE1	d2	all	18024	363.8155052868493	290.80562499999996
SE1	d2	evening	3004	342.45005351131823	273.3305968750002
SE1	d2	jul26	504	341.74700127025466	272.48037312499997
SE1	d2	jul26_evening	84	322.3988297767858	216.36520137499997
SE1	ana8	all	18024	334.21800508158253	277.27468749999997
SE1	ana8	evening	3004	310.28486041895036	257.2654041562501
SE1	ana8	jul26	504	531.7670155736608	515.3585162812501
SE1	ana8	jul26_evening	84	520.4153960252977	558.893912125
SE1	ana8b	all	18024	322.83267519119374	271.44671874999995
SE1	ana8b	evening	3004	311.19979234484526	264.47796875000006
SE1	ana8b	jul26	504	237.28181597855487	203.21258125
SE1	ana8b	jul26_evening	84	234.41198245163685	188.55974259375006
SE1	ana16	all	18024	327.10455694244166	271.50657893749997
SE1	ana16	evening	3004	309.47424965638373	257.7423619374998
SE1	ana16	jul26	504	535.6240565522073	543.7885775
SE1	ana16	jul26_evening	84	523.1839012812501	587.9421714687501
SE1	ana16b	all	18024	320.1255568127088	268.11202606250004
SE1	ana16b	evening	3004	309.0511368592843	257.91640625
SE1	ana16b	jul26	504	235.74096649628805	205.94232025000008
SE1	ana16b	jul26_evening	84	241.66484383482145	199.54508120312502
SE1	ana8w	all	18024	353.003722917831	296.8379403750001
SE1	ana8w	evening	3004	325.6399790717882	267.1525
SE1	ana8w	jul26	504	263.91700897271824	219.59984374999993
SE1	ana8w	jul26_evening	84	213.46498004464286	161.1362400625001
SE1	ana16w	all	18024	339.39495997051773	280.620735125
SE1	ana16w	evening	3004	317.699765966824	257.8934773124999
SE1	ana16w	jul26	504	254.5485120560516	209.4232858125
SE1	ana16w	jul26_evening	84	231.46669874107135	146.45523599999993
SE1	anad2	all	18024	309.49579300643717	259.0027737812499
SE1	anad2	evening	3004	292.07174998139385	248.20701454687492
SE1	anad2	jul26	504	365.0004529654224	347.0877074531249
SE1	anad2	jul26_evening	84	367.6706123266369	380.8223409687499
SE1	anad2w	all	18024	312.14130988706376	260.2794631562499
SE1	anad2w	evening	3004	294.196770973727	252.36367843749994
SE1	anad2w	jul26	504	272.6704648974041	217.32180014062502
SE1	anad2w	jul26_evening	84	258.16598243080364	180.98966259374993
SE1	ana16wb	all	18024	320.1255568127088	268.11202606250004
SE1	ana16wb	evening	3004	309.0511368592843	257.91640625
SE1	ana16wb	jul26	504	235.74096649628805	205.94232025000008
SE1	ana16wb	jul26_evening	84	241.66484383482145	199.54508120312502
SE1	v3	all	18024	376.35434414075183	309.6469125625
SE1	v3	evening	3004	368.44973564045563	312.07949687499996
SE1	v3	jul26	504	290.9476412916832	249.20367750000014
SE1	v3	jul26_evening	84	298.69640795684523	247.31922281250002
SE2	v2	all	18024	501.7704847925195	412.6531126250002
SE2	v2	evening	3004	498.3428456628464	396.6855766250002
SE2	v2	jul26	504	516.9746396109364	428.71019075000004
SE2	v2	jul26_evening	84	483.9411047610545	398.09043787500013
SE2	rec3	all	18024	440.7749643064464	365.6304425625001
SE2	rec3	evening	3004	442.55716954188955	363.72680231250024
SE2	rec3	jul26	504	449.71608798117205	397.2105889375
SE2	rec3	jul26_evening	84	397.1681918558673	360.4179998124997
SE2	d2	all	18024	487.92207494369916	397.52217175
SE2	d2	evening	3004	465.14644899719815	383.79499999999985
SE2	d2	jul26	504	468.1552110392101	436.04233206249955
SE2	d2	jul26_evening	84	409.00878345897104	296.2679664999996
SE2	ana8	all	18024	437.8338799944923	345.54248962500014
SE2	ana8	evening	3004	438.08996894702204	346.48531249999974
SE2	ana8	jul26	504	432.5304119244792	375.27333803125
SE2	ana8	jul26_evening	84	369.10901439880956	348.09799506249965
SE2	ana8b	all	18024	428.0224890356731	348.46440484375023
SE2	ana8b	evening	3004	429.75945619763826	338.8887499999996
