zone	cp	rule	n_days	mae_mw
LT	LV	ana8b	751	134.3645779826059
LT	PL	ana8b	751	71.97720965795605
LT	RU_KGD	ana8b	220	5.113056473361331
LT	SE4	ana8b	751	129.37651951665805
LT	BY	ana16	220	60.07376842473649
LT	LV	ana16	751	139.80811134311716
LT	PL	ana16	751	80.19210476309364
LT	RU_KGD	ana16	220	5.264483232460475
LT	SE4	ana16	751	133.6215723616887
LT	BY	ana16b	220	54.70456745615118
LT	LV	ana16b	751	133.64533953398862
LT	PL	ana16b	751	69.8934266117399
LT	RU_KGD	ana16b	220	5.090504698822464
LT	SE4	ana16b	751	127.20084263949843
LT	BY	v3	220	54.70456745615118
LT	LV	v3	751	133.64533953398862
LT	PL	v3	751	69.8934266117399
LT	RU_KGD	v3	220	5.090504698822464
LT	SE4	v3	751	150.8799065602441
LV	EE	v2	751	109.11551863928901
LV	LT	v2	751	137.96793952524996
LV	RU	v2	487	13.577772073921974
LV	EE	rec3	751	109.75310320374328
LV	LT	rec3	751	144.82387006176606
LV	RU	rec3	487	13.406314168377824
LV	EE	ana8	751	129.4801886181841
LV	LT	ana8	751	149.16963899899054
LV	RU	ana8	487	16.936216632443532
LV	EE	ana8b	751	110.77988308463111
LV	LT	ana8b	751	135.84125117079918
LV	RU	ana8b	487	14.436109685147159
LV	EE	ana16	751	126.81701112614012
LV	LT	ana16	751	144.29388490682197
LV	RU	ana16	487	15.164976899383982
LV	EE	ana16b	751	109.98088409815678
LV	LT	ana16b	751	134.84245763635317
LV	RU	ana16b	487	13.616497689938397
LV	EE	v3	751	109.98088409815678
LV	LT	v3	751	134.84245763635317
LV	RU	v3	487	13.616497689938397
NL	BE	v2	751	389.5051460760652
NL	DE_LU	v2	751	784.3017065638178
NL	DK1	v2	751	265.24397463104754
NL	GB	v2	751	269.2752880530985
NL	NO2	v2	751	114.88346452661727
NL	BE	rec3	751	416.7782590504328
NL	DE_LU	rec3	751	835.0347933335412
NL	DK1	rec3	751	244.8789073596316
NL	GB	rec3	751	271.58457061418113
NL	NO2	rec3	751	108.099429990048
NL	BE	ana8	751	465.16229070614173
NL	DE_LU	ana8	751	832.4909482803484
NL	DK1	ana8	751	250.76536867509986
NL	GB	ana8	751	284.16011997528426
NL	NO2	ana8	751	157.78861726921744
NL	BE	ana8b	751	392.18302210767587
NL	DE_LU	ana8b	751	768.2598196183214
NL	DK1	ana8b	751	235.10505901853085
NL	GB	ana8b	751	262.4495702814567
NL	NO2	ana8b	751	124.92062868010362
NL	BE	ana16	751	461.26477679066807
NL	DE_LU	ana16	751	814.9350049247186
NL	DK1	ana16	751	242.16094360297382
NL	GB	ana16	751	275.39818682827655
NL	NO2	ana16	751	154.9369125629924
NL	BE	ana16b	751	391.39217242981573
NL	DE_LU	ana16b	751	763.8407650568166
NL	DK1	ana16b	751	232.9962162602641
NL	GB	ana16b	751	260.1888871078641
NL	NO2	ana16b	751	124.19295965200219
NL	BE	v3	751	391.39217242981573
NL	DE_LU	v3	751	763.8407650568166
NL	DK1	v3	751	265.24397463104754
NL	GB	v3	751	260.1888871078641
NL	NO2	v3	751	114.88346452661727
NO1	NO2	v2	751	400.96268629121585
NO1	NO3	v2	751	61.029704041486355
NO1	NO5	v2	751	289.82469269247946
NO1	SE3	v2	751	412.9173726623045
NO1	NO2	rec3	751	378.7262184503093
NO1	NO3	rec3	751	59.31135256616872
NO1	NO5	rec3	751	263.19365978455113
NO1	SE3	rec3	751	373.4205132269751
NO1	NO2	ana8	751	347.84757009182204
NO1	NO3	ana8	751	67.11637071144378
NO1	NO5	ana8	751	245.38273700249323
NO1	SE3	ana8	751	335.69482891788033
NO1	NO2	ana8b	751	323.8160401403025
NO1	NO3	ana8b	751	56.516046102444996
NO1	NO5	ana8b	751	239.63868143453348
NO1	SE3	ana8b	751	341.3154883337668
NO1	NO2	ana16	751	346.43277558098924
NO1	NO3	ana16	751	66.82105415491152
NO1	NO5	ana16	751	242.01816402291735
NO1	SE3	ana16	751	323.97906242563386
NO1	NO2	ana16b	751	323.68069282554865
NO1	NO3	ana16b	751	56.50143693247544
NO1	NO5	ana16b	751	238.94002958781869
NO1	SE3	ana16b	751	338.3642852019668
NO1	NO2	v3	751	400.96268629121585
NO1	NO3	v3	751	61.029704041486355
NO1	NO5	v3	751	289.82469269247946
NO1	SE3	v3	751	412.9173726623045
NO2	DE_LU	v2	751	281.24693417804036
NO2	DK1	v2	751	387.51838570413065
NO2	GB	v2	751	280.14991486997195
NO2	NL	v2	751	114.88346452661727
NO2	NO1	v2	751	400.96268629121585
NO2	NO5	v2	751	115.86412137341878
NO2	DE_LU	rec3	751	245.90711435447184
NO2	DK1	rec3	751	333.1856729129633
NO2	GB	rec3	751	269.8346781337037
NO2	NL	rec3	751	108.099429990048
NO2	NO1	rec3	751	378.7262184503093
NO2	NO5	rec3	751	104.62270702527186
NO2	DE_LU	ana8	751	272.9379543941411
NO2	DK1	ana8	751	366.6202993544926
NO2	GB	ana8	751	233.31153113217098
NO2	NL	ana8	751	138.93745468360936
NO2	NO1	ana8	751	385.2758272524551
NO2	NO5	ana8	751	109.49712615684989
NO2	DE_LU	ana8b	751	249.55777975893253
NO2	DK1	ana8b	751	339.9742510226607
NO2	GB	ana8b	751	241.72151715680135
NO2	NL	ana8b	751	117.44969970055553
NO2	NO1	ana8b	751	335.44624116277953
NO2	NO5	ana8b	751	99.6092466787183
NO2	DE_LU	ana16	751	268.6512494174434
NO2	DK1	ana16	751	362.8736525583285
NO2	GB	ana16	751	224.37748792190968
NO2	NL	ana16	751	135.81805121462358
NO2	NO1	ana16	751	374.9934522620846
