day,arm,zone,ts,price
2025-07-15,A_off,DK1,20250715-2200,102.21
2025-07-15,A_off,DK1,20250715-0500,101.02
2025-07-15,A_off,DK1,20250715-1600,92.71
2025-07-15,A_off,DK1,20250715-0400,103.69
2025-07-15,A_off,DK1,20250715-0300,92.71
2025-07-15,A_off,DK1,20250715-1800,103.69
2025-07-15,A_off,DK1,20250715-0900,86.63
2025-07-15,A_off,DK1,20250715-0100,92.71
2025-07-15,A_off,DK1,20250715-1900,123.95
2025-07-15,A_off,NO2,20250715-1700,91.19
2025-07-15,A_off,NO2,20250715-2000,91.19
2025-07-15,A_off,NO2,20250715-1200,48.0
2025-07-15,A_off,NO2,20250715-0000,91.19
2025-07-15,A_off,NO2,20250715-1500,91.19
2025-07-15,A_off,NO2,20250715-0600,91.19
2025-07-15,A_off,NO2,20250715-1400,91.19
2025-07-15,A_off,NO2,20250715-0700,91.19
2025-07-15,A_off,NO2,20250715-2300,91.19
2025-07-15,A_off,NO2,20250715-1000,77.84
2025-07-15,A_off,NO2,20250715-1300,59.71
2025-07-15,A_off,NO2,20250715-1100,53.79
2025-07-15,A_off,NO2,20250715-0800,91.19
2025-07-15,A_off,NO2,20250715-2100,91.19
2025-07-15,A_off,NO2,20250715-0200,91.19
2025-07-15,A_off,NO2,20250715-2200,91.19
2025-07-15,A_off,NO2,20250715-0500,91.19
2025-07-15,A_off,NO2,20250715-1600,91.19
2025-07-15,A_off,NO2,20250715-0400,91.19
2025-07-15,A_off,NO2,20250715-0300,91.19
2025-07-15,A_off,NO2,20250715-1800,91.19
2025-07-15,A_off,NO2,20250715-0900,75.16
2025-07-15,A_off,NO2,20250715-0100,91.19
2025-07-15,A_off,NO2,20250715-1900,91.19
2025-07-15,A_off,FR,20250715-1700,36.29
2025-07-15,A_off,FR,20250715-2000,87.49
2025-07-15,A_off,FR,20250715-1200,19.95
2025-07-15,A_off,FR,20250715-0000,58.34
2025-07-15,A_off,FR,20250715-1500,24.58
2025-07-15,A_off,FR,20250715-0600,60.84
2025-07-15,A_off,FR,20250715-1400,16.0
2025-07-15,A_off,FR,20250715-0700,50.46
2025-07-15,A_off,FR,20250715-2300,58.34
2025-07-15,A_off,FR,20250715-1000,22.95
2025-07-15,A_off,FR,20250715-1300,19.95
2025-07-15,A_off,FR,20250715-1100,21.75
2025-07-15,A_off,FR,20250715-0800,49.03
2025-07-15,A_off,FR,20250715-2100,64.47
2025-07-15,A_off,FR,20250715-0200,58.34
2025-07-15,A_off,FR,20250715-2200,60.21
2025-07-15,A_off,FR,20250715-0500,59.97
2025-07-15,A_off,FR,20250715-1600,29.99
2025-07-15,A_off,FR,20250715-0400,60.5
2025-07-15,A_off,FR,20250715-0300,58.34
2025-07-15,A_off,FR,20250715-1800,78.06
2025-07-15,A_off,FR,20250715-0900,49.03
2025-07-15,A_off,FR,20250715-0100,58.34
2025-07-15,A_off,FR,20250715-1900,92.52
