day,arm,zone,ts,price
2025-05-01,A_off,DK1,20250501-0000,89.5
2025-05-01,A_off,DK1,20250501-0300,89.5
2025-05-01,A_off,DK1,20250501-0600,79.9
2025-05-01,A_off,DK1,20250501-1400,63.0
2025-05-01,A_off,DK1,20250501-1600,89.5
2025-05-01,A_off,NO2,20250501-1700,80.55
2025-05-01,A_off,NO2,20250501-1200,2.56
2025-05-01,A_off,NO2,20250501-0500,80.55
2025-05-01,A_off,NO2,20250501-2200,80.55
2025-05-01,A_off,NO2,20250501-2100,80.55
2025-05-01,A_off,NO2,20250501-1000,3.38
2025-05-01,A_off,NO2,20250501-1800,84.11
2025-05-01,A_off,NO2,20250501-2000,80.55
2025-05-01,A_off,NO2,20250501-1500,59.84
2025-05-01,A_off,NO2,20250501-1300,2.84
2025-05-01,A_off,NO2,20250501-0700,44.38
2025-05-01,A_off,NO2,20250501-0100,80.55
2025-05-01,A_off,NO2,20250501-0800,8.55
2025-05-01,A_off,NO2,20250501-0900,3.79
2025-05-01,A_off,NO2,20250501-1100,2.84
2025-05-01,A_off,NO2,20250501-0200,80.55
2025-05-01,A_off,NO2,20250501-2300,71.91
2025-05-01,A_off,NO2,20250501-0400,80.55
2025-05-01,A_off,NO2,20250501-1900,84.11
2025-05-01,A_off,NO2,20250501-0000,80.55
2025-05-01,A_off,NO2,20250501-0300,80.55
2025-05-01,A_off,NO2,20250501-0600,69.22
2025-05-01,A_off,NO2,20250501-1400,11.55
2025-05-01,A_off,NO2,20250501-1600,80.55
2025-05-01,A_off,FR,20250501-1700,20.49
2025-05-01,A_off,FR,20250501-1200,2.85
2025-05-01,A_off,FR,20250501-0500,23.0
2025-05-01,A_off,FR,20250501-2200,47.23
2025-05-01,A_off,FR,20250501-2100,48.96
2025-05-01,A_off,FR,20250501-1000,3.06
2025-05-01,A_off,FR,20250501-1800,45.21
2025-05-01,A_off,FR,20250501-2000,48.96
2025-05-01,A_off,FR,20250501-1500,2.85
2025-05-01,A_off,FR,20250501-1300,2.85
2025-05-01,A_off,FR,20250501-0700,13.76
2025-05-01,A_off,FR,20250501-0100,23.75
2025-05-01,A_off,FR,20250501-0800,5.0
2025-05-01,A_off,FR,20250501-0900,3.75
2025-05-01,A_off,FR,20250501-1100,2.85
2025-05-01,A_off,FR,20250501-0200,23.0
2025-05-01,A_off,FR,20250501-2300,21.73
2025-05-01,A_off,FR,20250501-0400,23.0
2025-05-01,A_off,FR,20250501-1900,50.57
2025-05-01,A_off,FR,20250501-0000,44.11
2025-05-01,A_off,FR,20250501-0300,23.0
2025-05-01,A_off,FR,20250501-0600,21.33
2025-05-01,A_off,FR,20250501-1400,2.85
2025-05-01,A_off,FR,20250501-1600,20.28
2025-05-01,B_on,NL,20250501-1700,92.31
2025-05-01,B_on,NL,20250501-1200,40.0
2025-05-01,B_on,NL,20250501-0500,89.5
2025-05-01,B_on,NL,20250501-2200,89.5
2025-05-01,B_on,NL,20250501-2100,89.5
2025-05-01,B_on,NL,20250501-1000,79.9
2025-05-01,B_on,NL,20250501-1800,99.0
2025-05-01,B_on,NL,20250501-2000,90.09
2025-05-01,B_on,NL,20250501-1500,79.9
2025-05-01,B_on,NL,20250501-1300,44.11
2025-05-01,B_on,NL,20250501-0700,79.9
2025-05-01,B_on,NL,20250501-0100,89.5
2025-05-01,B_on,NL,20250501-0800,79.9
2025-05-01,B_on,NL,20250501-0900,79.9
2025-05-01,B_on,NL,20250501-1100,44.11
2025-05-01,B_on,NL,20250501-0200,89.5
2025-05-01,B_on,NL,20250501-2300,84.11
2025-05-01,B_on,NL,20250501-0400,89.5
2025-05-01,B_on,NL,20250501-1900,95.88
2025-05-01,B_on,NL,20250501-0000,89.5
2025-05-01,B_on,NL,20250501-0300,89.5
2025-05-01,B_on,NL,20250501-0600,89.5
2025-05-01,B_on,NL,20250501-1400,79.9
2025-05-01,B_on,NL,20250501-1600,89.5
2025-05-01,B_on,BE,20250501-1700,91.95
2025-05-01,B_on,BE,20250501-1200,9.5
2025-05-01,B_on,BE,20250501-0500,80.55
2025-05-01,B_on,BE,20250501-2200,80.55
2025-05-01,B_on,BE,20250501-2100,84.07
2025-05-01,B_on,BE,20250501-1000,9.5
