zone,day,n_hours,model_max,actual_max,actual_mean_day
NO3,2024-09-05,5,3000,18,16
NO3,2024-09-10,5,3000,5,2
NO3,2024-09-16,4,3000,21,18
NO3,2024-09-18,1,3000,20,15
NO3,2024-09-19,2,3000,18,16
NO3,2024-09-20,13,3000,25,17
NO3,2024-09-21,2,3000,17,15
NO3,2024-09-22,5,3000,19,16
NO3,2024-09-23,13,3000,20,19
NO3,2024-09-24,9,3000,26,19
NO3,2024-10-08,4,3000,23,21
NO3,2024-11-09,9,3000,33,18
NO3,2024-11-21,2,3000,12,12
NO3,2026-04-20,10,3000,138,123
NO3,2026-04-21,11,3000,120,89
NO3,2026-04-26,4,3000,87,67
NO3,2026-04-27,7,3000,87,85
NO3,2026-05-06,3,3000,152,113
NO3,2026-05-11,17,3000,146,123
NO3,2026-05-12,1,3000,135,118
NO3,2026-05-19,5,3000,84,92
NO3,2026-05-22,15,3000,99,61
NO3,2026-05-30,12,3000,79,52
NO3,2026-05-31,20,3000,75,61
NO3,2026-06-01,10,3000,110,84
NO3,2026-06-02,17,3000,102,90
NO3,2026-06-16,1,3000,60,66
RO,2024-08-19,4,3000,504,170
RO,2024-08-20,5,3000,583,165
RO,2024-11-12,1,502,305,269
RO,2024-11-13,2,3000,500,320
RO,2024-11-14,1,507,477,335
RO,2024-12-04,3,548,281,191
RO,2025-01-14,3,3000,263,151
RO,2025-01-15,2,528,452,242
RO,2025-01-16,1,541,195,154
RO,2025-02-04,1,559,174,145
RO,2025-02-12,3,832,373,184
RO,2025-02-13,1,503,360,204
RO,2025-02-14,1,540,310,182
RO,2025-02-19,3,3000,282,166
RO,2025-10-07,2,553,280,139
RO,2026-01-09,1,543,191,138
RO,2026-01-12,4,3000,365,204
RO,2026-01-13,2,569,378,252
RO,2026-01-14,3,633,283,189
RO,2026-01-15,1,541,273,193
RO,2026-01-19,3,635,276,162
RO,2026-01-20,2,724,350,188
RO,2026-06-15,2,3000,175,93
RO,2026-06-16,3,3000,247,113
RO,2026-06-17,1,3000,177,120
RO,2026-06-18,3,3000,387,125
RO,2026-06-19,3,3000,260,105
RO,2026-06-20,3,3000,223,97
RO,2026-06-21,3,3000,165,84
RO,2026-06-22,4,3000,275,126
RO,2026-06-23,4,3000,493,175
RO,2026-06-24,4,3000,601,201
RO,2026-06-25,5,3000,472,170
RO,2026-06-26,5,3000,477,156
RO,2026-06-27,4,3000,374,120
RO,2026-06-28,3,3000,242,95
RO,2026-06-29,5,3000,767,229
RO,2026-06-30,6,3000,955,292
RS,2024-11-12,1,502,206,239
RS,2024-11-13,2,3000,329,284
RS,2024-11-14,1,507,314,281
RS,2024-12-04,3,548,229,180
RS,2025-01-14,3,3000,243,152
RS,2025-01-16,1,541,224,164
RS,2025-10-05,1,3000,2,78
RS,2025-10-07,2,553,200,134
RS,2026-01-09,1,543,209,126
RS,2026-01-12,4,3000,303,153
RS,2026-01-13,2,569,400,227
RS,2026-01-14,3,633,250,153
RS,2026-01-15,1,541,300,170
RS,2026-01-19,3,635,230,124
RS,2026-01-20,2,724,180,102
RS,2026-06-26,1,502,211,126
RS,2026-06-29,5,3000,455,157
SE3,2025-06-10,4,3000,48,52
SE3,2025-08-26,1,3000,83,96
SE3,2025-09-23,2,3000,102,44
SE3,2026-02-18,4,3000,124,133
SI,2024-07-24,1,3000,158,99
SI,2024-08-05,5,3000,370,135
SI,2024-08-16,1,557,266,123
SI,2024-08-20,2,3000,250,120
SI,2024-08-22,2,3000,236,110
SI,2024-08-23,4,3000,250,126
SI,2024-08-25,1,3000,216,54
SI,2024-08-26,2,3000,329,131
SI,2024-08-27,2,3000,275,140
SI,2024-08-28,5,3000,795,198
SI,2024-08-29,3,3000,1022,215
SI,2024-08-30,1,544,210,159
SI,2024-09-03,3,3000,651,174
SI,2024-09-04,4,3000,814,168
SI,2024-09-05,2,3000,336,125
SI,2024-09-06,3,3000,499,128
SI,2024-09-08,1,531,171,69
SI,2024-09-10,1,3000,216,97
SI,2024-09-19,1,3000,145,80
SI,2024-09-20,1,3000,186,83
SI,2024-09-21,1,545,272,77
SI,2025-06-03,2,3000,232,87
SI,2025-06-26,5,3000,210,119
SI,2025-07-02,1,3000,137,130
SI,2025-07-03,4,3000,306,113
SI,2025-07-04,1,3000,145,117
SI,2025-07-06,2,3000,156,85
SI,2025-07-29,1,3000,163,92
SI,2025-08-06,1,3000,91,74
