zone,ts,price
NO4,20240822-1300,34.42
NO4,20240822-2100,31.35
NO4,20240822-0200,37.69
NO4,20240822-2000,29.49
NO4,20240822-0300,33.46
NO4,20240822-0500,36.18
NO4,20240822-0000,39.66
NO4,20240822-0900,35.69
NO4,20240822-1800,28.629999999999512
NO4,20240822-0400,34.08
NO4,20240822-1000,35.78
NO4,20240822-1700,29.18
NO4,20240822-0100,40.57
NO4,20240822-1900,25.68
NO4,20240822-1100,37.97
NO4,20240822-1200,36.95
NO4,20240822-0800,39.44
NO4,20240822-1500,30.91
NO4,20240822-0600,47.09
NO4,20240822-0700,45.03
NO4,20240822-1600,31.55
SE3,20240822-2300,1.0
SE3,20240822-2200,1.0
SE3,20240822-1400,26.65
SE3,20240822-1300,4.75
SE3,20240822-2100,1.0
SE3,20240822-0200,2.0
SE3,20240822-2000,1.0
SE3,20240822-0300,4.99
SE3,20240822-0500,27.51
SE3,20240822-0000,5.0
SE3,20240822-0900,28.18
SE3,20240822-1800,1.0
SE3,20240822-0400,27.51
SE3,20240822-1000,4.8
SE3,20240822-1700,2.0
SE3,20240822-0100,4.99
SE3,20240822-1900,1.0
SE3,20240822-1100,4.75
SE3,20240822-1200,4.75
SE3,20240822-0800,47.02
SE3,20240822-1500,4.99
SE3,20240822-0600,81.17
SE3,20240822-0700,81.17
SE3,20240822-1600,5.0
FR,20240822-2300,46.43
FR,20240822-2200,53.25
FR,20240822-1400,33.16
FR,20240822-1300,31.11
FR,20240822-2100,59.9
FR,20240822-0200,50.13
FR,20240822-2000,78.03
FR,20240822-0300,50.83
FR,20240822-0500,62.52
FR,20240822-0000,59.48
FR,20240822-0900,36.9
FR,20240822-1800,106.65999999999995
FR,20240822-0400,54.93
FR,20240822-1000,34.64
FR,20240822-1700,90.19
FR,20240822-0100,54.93
FR,20240822-1900,94.93
FR,20240822-1100,30.9
FR,20240822-1200,31.09
FR,20240822-0800,46.24
FR,20240822-1500,40.57
FR,20240822-0600,65.05
FR,20240822-0700,63.51
FR,20240822-1600,52.62
FI,20240822-2300,11.4
FI,20240822-2200,11.35
FI,20240822-1400,14.95
FI,20240822-1300,14.69
FI,20240822-2100,9.5
FI,20240822-0200,5.0
FI,20240822-2000,9.5
FI,20240822-0300,5.0
FI,20240822-0500,15.3
FI,20240822-0000,5.0
FI,20240822-0900,20.6
FI,20240822-1800,11.489999999999782
FI,20240822-0400,9.5
FI,20240822-1000,11.84
FI,20240822-1700,12.02
FI,20240822-0100,5.0
FI,20240822-1900,9.5
FI,20240822-1100,11.66
FI,20240822-1200,14.84
FI,20240822-0800,54.93
FI,20240822-1500,15.01
FI,20240822-0600,57.0
FI,20240822-0700,57.0
FI,20240822-1600,15.03
PL,20240822-2300,94.84
PL,20240822-2200,94.84
PL,20240822-1400,94.84
PL,20240822-1300,94.84
PL,20240822-2100,94.84
PL,20240822-0200,94.84
PL,20240822-2000,94.84
PL,20240822-0300,94.84
PL,20240822-0500,94.84
PL,20240822-0000,91.52
PL,20240822-0900,90.19
PL,20240822-1800,106.65999999999966
PL,20240822-0400,94.84
PL,20240822-1000,90.19
PL,20240822-1700,106.66
PL,20240822-0100,94.84
PL,20240822-1900,94.93
PL,20240822-1100,90.19
PL,20240822-1200,94.84
PL,20240822-0800,94.84
PL,20240822-1500,94.84
PL,20240822-0600,94.84
PL,20240822-0700,94.84
PL,20240822-1600,106.66
IT-Calabria,20240822-2300,108.22
IT-Calabria,20240822-2200,108.22
IT-Calabria,20240822-1400,108.22
IT-Calabria,20240822-1300,108.22
IT-Calabria,20240822-2100,108.22
IT-Calabria,20240822-0200,108.22
IT-Calabria,20240822-2000,108.22
IT-Calabria,20240822-0300,108.22
IT-Calabria,20240822-0500,108.22
IT-Calabria,20240822-0000,108.22
IT-Calabria,20240822-0900,108.22
IT-Calabria,20240822-1800,108.21999999999996
IT-Calabria,20240822-0400,108.22
IT-Calabria,20240822-1000,108.22
IT-Calabria,20240822-1700,108.22
IT-Calabria,20240822-0100,108.22
IT-Calabria,20240822-1900,108.22
IT-Calabria,20240822-1100,108.22
IT-Calabria,20240822-1200,108.22
IT-Calabria,20240822-0800,108.22
IT-Calabria,20240822-1500,108.22
IT-Calabria,20240822-0600,108.22
IT-Calabria,20240822-0700,108.22
IT-Calabria,20240822-1600,108.22
AT,20240822-2300,70.34
AT,20240822-2200,79.68
AT,20240822-1400,55.28
AT,20240822-1300,46.27
AT,20240822-2100,81.92
AT,20240822-0200,90.19
AT,20240822-2000,94.84
AT,20240822-0300,94.84
AT,20240822-0500,94.93
AT,20240822-0000,90.19
AT,20240822-0900,53.69
AT,20240822-1800,106.65999999999995
AT,20240822-0400,94.84
AT,20240822-1000,46.67
AT,20240822-1700,94.93
AT,20240822-0100,90.19
AT,20240822-1900,94.93
AT,20240822-1100,45.93
AT,20240822-1200,46.23
AT,20240822-0800,69.79
AT,20240822-1500,72.16
AT,20240822-0600,94.84
AT,20240822-0700,90.49
AT,20240822-1600,94.93
SE2,20240822-2300,1.0
SE2,20240822-2200,1.0
SE2,20240822-1400,21.71
SE2,20240822-1300,21.71
SE2,20240822-2100,1.0
SE2,20240822-0200,29.9
SE2,20240822-2000,1.0
SE2,20240822-0300,35.2
SE2,20240822-0500,39.39
SE2,20240822-0000,29.17
SE2,20240822-0900,34.69
SE2,20240822-1800,1.0
SE2,20240822-0400,37.03
SE2,20240822-1000,31.36
SE2,20240822-1700,1.0
SE2,20240822-0100,28.71
SE2,20240822-1900,1.0
SE2,20240822-1100,27.67
SE2,20240822-1200,23.71
SE2,20240822-0800,36.69
SE2,20240822-1500,1.0
SE2,20240822-0600,39.79
SE2,20240822-0700,38.71
SE2,20240822-1600,1.0
IT-NORTH,20240822-2300,108.22
IT-NORTH,20240822-2200,108.22
IT-NORTH,20240822-1400,108.22
IT-NORTH,20240822-1300,108.22
IT-NORTH,20240822-2100,108.22
IT-NORTH,20240822-0200,103.56
IT-NORTH,20240822-2000,108.22
IT-NORTH,20240822-0300,106.66
IT-NORTH,20240822-0500,108.22
IT-NORTH,20240822-0000,99.25
IT-NORTH,20240822-0900,108.22
IT-NORTH,20240822-1800,108.22
IT-NORTH,20240822-0400,108.22
IT-NORTH,20240822-1000,108.22
IT-NORTH,20240822-1700,108.22
IT-NORTH,20240822-0100,103.85
IT-NORTH,20240822-1900,108.22
IT-NORTH,20240822-1100,106.66
IT-NORTH,20240822-1200,108.22
IT-NORTH,20240822-0800,108.22
IT-NORTH,20240822-1500,108.22
IT-NORTH,20240822-0600,108.22
IT-NORTH,20240822-0700,108.22
IT-NORTH,20240822-1600,108.22
LT,20240822-2300,75.34
LT,20240822-2200,75.34
LT,20240822-1400,90.19
LT,20240822-1300,75.34
LT,20240822-2100,75.34
LT,20240822-0200,75.34
LT,20240822-2000,90.19
LT,20240822-0300,90.19
LT,20240822-0500,94.84
LT,20240822-0000,54.93
LT,20240822-0900,75.34
LT,20240822-1800,106.65999999999966
LT,20240822-0400,90.19
LT,20240822-1000,75.34
LT,20240822-1700,106.66
LT,20240822-0100,54.93
LT,20240822-1900,94.93
LT,20240822-1100,54.93
LT,20240822-1200,75.34
LT,20240822-0800,75.34
LT,20240822-1500,90.19
LT,20240822-0600,94.84
LT,20240822-0700,90.19
LT,20240822-1600,96.96
PT,20240822-2300,90.19
PT,20240822-2200,90.19
PT,20240822-1400,33.16
PT,20240822-1300,31.11
PT,20240822-2100,90.19
PT,20240822-0200,90.19
PT,20240822-2000,150.82
PT,20240822-0300,90.19
PT,20240822-0500,90.19
PT,20240822-0000,90.19
PT,20240822-0900,36.9
PT,20240822-1800,156.15
PT,20240822-0400,90.19
PT,20240822-1000,34.64
PT,20240822-1700,90.19
PT,20240822-0100,90.19
PT,20240822-1900,166.13
PT,20240822-1100,30.9
PT,20240822-1200,31.09
PT,20240822-0800,54.93
PT,20240822-1500,40.57
PT,20240822-0600,90.19
PT,20240822-0700,90.19
PT,20240822-1600,54.93
NO2,20240822-2300,51.3
NO2,20240822-2200,53.85
NO2,20240822-1400,18.22
NO2,20240822-1300,4.28
NO2,20240822-2100,81.17
NO2,20240822-0200,81.17
NO2,20240822-2000,81.17
NO2,20240822-0300,81.17
NO2,20240822-0500,83.78
NO2,20240822-0000,81.17
NO2,20240822-0900,25.61
NO2,20240822-1800,83.77999999999975
NO2,20240822-0400,83.78
NO2,20240822-1000,4.3
NO2,20240822-1700,83.78
NO2,20240822-0100,81.17
NO2,20240822-1900,83.78
NO2,20240822-1100,3.0
NO2,20240822-1200,3.0
NO2,20240822-0800,47.02
NO2,20240822-1500,33.66
NO2,20240822-0600,83.78
NO2,20240822-0700,81.17
NO2,20240822-1600,69.21
LV,20240822-2300,75.34
LV,20240822-2200,75.34
LV,20240822-1400,90.19
LV,20240822-1300,75.34
LV,20240822-2100,75.34
LV,20240822-0200,75.34
LV,20240822-2000,90.19
LV,20240822-0300,90.19
LV,20240822-0500,94.84
LV,20240822-0000,54.93
LV,20240822-0900,75.34
LV,20240822-1800,106.65999999999966
LV,20240822-0400,90.19
LV,20240822-1000,75.34
LV,20240822-1700,106.66
LV,20240822-0100,54.93
LV,20240822-1900,94.93
LV,20240822-1100,54.93
LV,20240822-1200,75.34
LV,20240822-0800,75.34
LV,20240822-1500,90.19
LV,20240822-0600,94.84
LV,20240822-0700,90.19
LV,20240822-1600,96.96
NL,20240822-2300,70.34
NL,20240822-2200,79.68
NL,20240822-1400,4.75
NL,20240822-1300,4.28
NL,20240822-2100,90.19
NL,20240822-0200,90.19
NL,20240822-2000,90.19
NL,20240822-0300,90.19
NL,20240822-0500,90.19
NL,20240822-0000,90.19
NL,20240822-0900,23.75
NL,20240822-1800,90.18999999999915
NL,20240822-0400,90.19
NL,20240822-1000,4.3
NL,20240822-1700,90.19
NL,20240822-0100,90.19
NL,20240822-1900,90.19
NL,20240822-1100,1.0
NL,20240822-1200,1.0
NL,20240822-0800,54.93
NL,20240822-1500,9.5
NL,20240822-0600,90.19
NL,20240822-0700,90.19
NL,20240822-1600,54.93
NO5,20240822-2300,51.3
NO5,20240822-2200,53.85
NO5,20240822-1400,15.46
NO5,20240822-1300,4.28
NO5,20240822-2100,81.17
NO5,20240822-0200,81.17
NO5,20240822-2000,81.17
NO5,20240822-0300,81.17
NO5,20240822-0500,83.26
NO5,20240822-0000,81.17
NO5,20240822-0900,24.78
NO5,20240822-1800,83.25999999999885
NO5,20240822-0400,83.26
NO5,20240822-1000,4.3
NO5,20240822-1700,83.26
NO5,20240822-0100,81.17
NO5,20240822-1900,83.26
NO5,20240822-1100,2.59
NO5,20240822-1200,2.59
NO5,20240822-0800,47.02
NO5,20240822-1500,27.9
NO5,20240822-0600,83.26
NO5,20240822-0700,81.17
NO5,20240822-1600,65.3
BE,20240822-2300,51.3
BE,20240822-2200,54.93
BE,20240822-1400,9.5
BE,20240822-1300,4.75
BE,20240822-2100,90.19
BE,20240822-0200,81.17
BE,20240822-2000,90.19
BE,20240822-0300,81.17
BE,20240822-0500,83.26
BE,20240822-0000,81.17
BE,20240822-0900,5.0
BE,20240822-1800,90.18999999999869
BE,20240822-0400,83.26
BE,20240822-1000,4.75
BE,20240822-1700,90.19
BE,20240822-0100,81.17
BE,20240822-1900,90.19
BE,20240822-1100,2.88
BE,20240822-1200,2.88
BE,20240822-0800,9.5
BE,20240822-1500,27.9
BE,20240822-0600,83.26
BE,20240822-0700,54.93
BE,20240822-1600,65.3
RO,20240822-2300,106.14
RO,20240822-2200,106.66
RO,20240822-1400,106.66
RO,20240822-1300,106.66
RO,20240822-2100,106.66
RO,20240822-0200,106.66
RO,20240822-2000,106.66
RO,20240822-0300,106.66
RO,20240822-0500,106.66
RO,20240822-0000,106.66
RO,20240822-0900,106.66
RO,20240822-1800,167.1
RO,20240822-0400,106.66
RO,20240822-1000,106.66
RO,20240822-1700,178.13
RO,20240822-0100,106.66
RO,20240822-1900,108.22
RO,20240822-1100,106.66
RO,20240822-1200,106.66
RO,20240822-0800,106.66
RO,20240822-1500,156.62
RO,20240822-0600,106.66
RO,20240822-0700,99.68
RO,20240822-1600,174.78
DK2,20240822-2300,21.14
DK2,20240822-2200,21.14
DK2,20240822-1400,43.14
DK2,20240822-1300,23.49
DK2,20240822-2100,21.14
DK2,20240822-0200,21.14
DK2,20240822-2000,25.18
DK2,20240822-0300,27.69
DK2,20240822-0500,45.01
DK2,20240822-0000,18.09
DK2,20240822-0900,40.17
DK2,20240822-1800,29.669999999999387
DK2,20240822-0400,43.74
DK2,20240822-1000,23.52
DK2,20240822-1700,29.67
DK2,20240822-0100,18.09
DK2,20240822-1900,26.45
DK2,20240822-1100,34.14
DK2,20240822-1200,39.7
DK2,20240822-0800,59.83
DK2,20240822-1500,27.69
DK2,20240822-0600,90.19
DK2,20240822-0700,90.19
DK2,20240822-1600,29.54
BG,20240822-2300,106.14
BG,20240822-2200,106.66
BG,20240822-1400,106.66
BG,20240822-1300,101.15
BG,20240822-2100,106.66
BG,20240822-0200,106.66
BG,20240822-2000,108.22
BG,20240822-0300,106.66
BG,20240822-0500,106.66
BG,20240822-0000,106.66
BG,20240822-0900,90.19
BG,20240822-1800,183.35999999999686
BG,20240822-0400,106.66
BG,20240822-1000,90.19
BG,20240822-1700,187.58
BG,20240822-0100,106.66
BG,20240822-1900,108.22
BG,20240822-1100,90.19
BG,20240822-1200,90.19
BG,20240822-0800,90.19
BG,20240822-1500,122.09
BG,20240822-0600,106.66
BG,20240822-0700,90.19
BG,20240822-1600,172.34
IT-CSOUTH,20240822-2300,108.22
IT-CSOUTH,20240822-2200,108.22
IT-CSOUTH,20240822-1400,108.22
IT-CSOUTH,20240822-1300,108.22
IT-CSOUTH,20240822-2100,108.22
IT-CSOUTH,20240822-0200,108.22
IT-CSOUTH,20240822-2000,108.22
IT-CSOUTH,20240822-0300,108.22
IT-CSOUTH,20240822-0500,108.22
IT-CSOUTH,20240822-0000,108.22
IT-CSOUTH,20240822-0900,108.22
IT-CSOUTH,20240822-1800,108.22000000000001
IT-CSOUTH,20240822-0400,108.22
IT-CSOUTH,20240822-1000,108.22
IT-CSOUTH,20240822-1700,108.22
IT-CSOUTH,20240822-0100,108.22
IT-CSOUTH,20240822-1900,108.22
IT-CSOUTH,20240822-1100,108.22
IT-CSOUTH,20240822-1200,108.22
IT-CSOUTH,20240822-0800,108.22
IT-CSOUTH,20240822-1500,108.22
IT-CSOUTH,20240822-0600,108.22
IT-CSOUTH,20240822-0700,108.22
IT-CSOUTH,20240822-1600,108.22
CZ,20240822-2300,90.19
CZ,20240822-2200,90.19
CZ,20240822-1400,94.84
CZ,20240822-1300,90.19
CZ,20240822-2100,90.19
CZ,20240822-0200,75.34
CZ,20240822-2000,94.84
CZ,20240822-0300,90.19
CZ,20240822-0500,106.66
CZ,20240822-0000,75.34
CZ,20240822-0900,90.19
CZ,20240822-1800,106.66000000000031
CZ,20240822-0400,94.84
CZ,20240822-1000,90.19
CZ,20240822-1700,106.66
CZ,20240822-0100,63.0
CZ,20240822-1900,94.93
CZ,20240822-1100,90.19
CZ,20240822-1200,90.19
CZ,20240822-0800,94.84
CZ,20240822-1500,94.84
CZ,20240822-0600,106.66
CZ,20240822-0700,94.84
CZ,20240822-1600,94.93
NO3,20240822-2300,51.3
NO3,20240822-2200,53.85
NO3,20240822-1400,15.46
NO3,20240822-1300,4.28
NO3,20240822-2100,81.17
NO3,20240822-0200,81.17
NO3,20240822-2000,81.17
NO3,20240822-0300,81.17
NO3,20240822-0500,83.26
NO3,20240822-0000,81.17
NO3,20240822-0900,24.78
NO3,20240822-1800,83.25999999999998
NO3,20240822-0400,83.26
NO3,20240822-1000,4.3
NO3,20240822-1700,83.26
NO3,20240822-0100,81.17
NO3,20240822-1900,83.26
NO3,20240822-1100,2.59
NO3,20240822-1200,2.59
NO3,20240822-0800,47.02
NO3,20240822-1500,27.9
NO3,20240822-0600,83.26
NO3,20240822-0700,81.17
NO3,20240822-1600,65.3
NO1,20240822-2300,51.3
NO1,20240822-2200,53.85
NO1,20240822-1400,15.46
NO1,20240822-1300,4.28
NO1,20240822-2100,81.17
NO1,20240822-0200,81.17
NO1,20240822-2000,81.17
NO1,20240822-0300,81.17
NO1,20240822-0500,83.26
NO1,20240822-0000,81.17
NO1,20240822-0900,24.78
NO1,20240822-1800,83.26000000000003
NO1,20240822-0400,83.26
NO1,20240822-1000,4.3
NO1,20240822-1700,83.26
NO1,20240822-0100,81.17
NO1,20240822-1900,83.26
NO1,20240822-1100,4.63
NO1,20240822-1200,4.73
NO1,20240822-0800,47.02
NO1,20240822-1500,27.9
NO1,20240822-0600,83.26
NO1,20240822-0700,81.17
NO1,20240822-1600,65.3
DE_LU,20240822-2300,70.34
DE_LU,20240822-2200,79.68
DE_LU,20240822-1400,33.16
DE_LU,20240822-1300,4.75
DE_LU,20240822-2100,90.19
DE_LU,20240822-0200,90.19
DE_LU,20240822-2000,94.84
DE_LU,20240822-0300,94.84
DE_LU,20240822-0500,94.93
DE_LU,20240822-0000,90.19
DE_LU,20240822-0900,28.18
DE_LU,20240822-1800,106.65999999999995
DE_LU,20240822-0400,94.84
DE_LU,20240822-1000,4.75
DE_LU,20240822-1700,94.93
DE_LU,20240822-0100,90.19
DE_LU,20240822-1900,94.93
DE_LU,20240822-1100,3.15
DE_LU,20240822-1200,3.0
DE_LU,20240822-0800,59.83
DE_LU,20240822-1500,72.16
DE_LU,20240822-0600,94.84
DE_LU,20240822-0700,90.19
DE_LU,20240822-1600,94.84
SK,20240822-2300,55.48
